"{{877460, 440582, 394262}}","{{931682, 365420, 415202}, {920873, 369482, 421949}}","{{833778, 465042, 413484}, {854710, 435639, 421955}}","{{888000, 389880, 434424}, {894604, 377142, 440558}, {893639, 377980, 440685}, {893679, 377219, 441406}, {900283, 364481, 447540}}"
"{{866348, 453599, 392357}}","{{918831, 380827, 412646}, {908718, 383817, 419769}}","{{823030, 477721, 411553}, {842555, 449974, 419775}}","{{875513, 404949, 431842}, {881870, 392145, 438289}, {881007, 392965, 438332}, {881044, 392464, 438796}, {887401, 379660, 445243}}"
"{{856236, 461419, 394649}}","{{907203, 390495, 414606}, {897802, 392426, 422076}}","{{813508, 484772, 414024}, {831639, 458583, 422082}}","{{864475, 413848, 433981}, {870586, 401006, 440712}, {869829, 401804, 440671}, {869862, 401451, 440991}, {875973, 388609, 447722}}"
{},"{{651021, 1002215, 59068}}",{},"{{587422, 1064474, 60408}, {590918, 1059291, 62095}}"
"{{649969, 416967, 645368}}","{{685696, 339921, 686687}, {671627, 343598, 697079}}","{{587570, 439543, 685191}, {597641, 417578, 697085}}","{{623297, 362497, 726510}, {626157, 350169, 735978}, {627036, 349417, 735851}, {613908, 361913, 736483}, {617647, 348833, 745824}}"
"{{641482, 424204, 646618}}","{{675619, 349054, 687631}, {662394, 351559, 698351}}","{{579674, 445948, 686682}, {588408, 425539, 698357}}","{{613811, 370798, 727695}, {616594, 358285, 737425}, {617369, 357553, 737382}, {604338, 370290, 737676}, {607896, 357045, 747363}}"
"{{619500, 431204, 661600}}","{{650978, 357837, 703489}, {638357, 359268, 714679}}","{{557205, 452104, 702995}, {564371, 433248, 714685}}","{{588683, 378737, 744884}, {591146, 366149, 755009}, {591815, 365439, 755050}, {578880, 378302, 755122}, {582012, 365004, 765288}}"
"{{122515, 122515, 1467274}}","{{122515, 37049, 1552740}}",{},"{{37049, 37049, 1638206}, {31065, 18603, 1662636}, {12619, 12619, 1687066}}"
{},{},{},"{{1367948, 310232, 34124}, {1379125, 298431, 34748}, {1390302, 286630, 35372}}"
{},{},"{{1383941, 296399, 31964}, {1404466, 274738, 33100}}","{{1452016, 226798, 33490}, {1464598, 213592, 34114}, {1464607, 213269, 34428}, {1477189, 200063, 35052}}"
{},{},{},"{{1366420, 312636, 33248}, {1377578, 300542, 34184}, {1388736, 288448, 35120}}"
{},{},"{{1380930, 299658, 31716}, {1401133, 278179, 32992}}","{{1448634, 230505, 33165}, {1461135, 217381, 33788}, {1461154, 216847, 34303}, {1473655, 203723, 34926}}"
{},{},"{{1372119, 308556, 31629}, {1391530, 287872, 32902}}","{{1439122, 240425, 32757}, {1451394, 227216, 33694}, {1451404, 227005, 33895}, {1463676, 213796, 34832}}"
{},{},{},"{{1365852, 313854, 32598}, {1377007, 301564, 33733}, {1388162, 289274, 34868}}"
{},{},"{{1378804, 301990, 31510}, {1398701, 280719, 32884}}","{{1446212, 233168, 32924}, {1458647, 220111, 33546}, {1458676, 219450, 34178}, {1471111, 206393, 34800}}"
{},{},"{{1369993, 310873, 31438}, {1389098, 290412, 32794}}","{{1436700, 243088, 32516}, {1448906, 229946, 33452}, {1448926, 229608, 33770}, {1461132, 216466, 34706}}"
{},{},"{{1361880, 319068, 31356}, {1380207, 299393, 32704}}","{{1427908, 252175, 32221}, {1439900, 239046, 33358}, {1439910, 238919, 33475}, {1451902, 225790, 34612}}"
{},{},{},"{{1365284, 314904, 32116}, {1376436, 302502, 33366}, {1387588, 290100, 34616}}"
{},{},"{{1440769, 189137, 82398}}","{{1518335, 107019, 86950}, {1532646, 91515, 88143}}"
{},{},"{{1412146, 219312, 80846}}","{{1487771, 139864, 84669}, {1501625, 124511, 86168}}"
{},{},"{{1383658, 249487, 79159}}","{{1457351, 172596, 82357}, {1470749, 157506, 84049}}"
{},{},"{{1355440, 279668, 77196}}","{{1427219, 205244, 79841}, {1440161, 190501, 81642}}"
{},{},{},"{{37118, 37118, 1638068}}"
{},"{{591386, 1054693, 66225}}",{},"{{521427, 1121410, 69467}, {523851, 1118235, 70218}}"
"{{938261, 489834, 284209}}","{{998590, 416146, 297568}, {986754, 422701, 302849}}","{{896348, 518456, 297500}, {919742, 489713, 302849}}","{{956677, 444768, 310859}, {963114, 433735, 315455}, {952333, 444523, 315448}, {958770, 433490, 320044}, {963026, 433517, 315761}}"
{},"{{561867, 1103266, 47171}, {551111, 1113034, 48159}}",{},"{{498782, 1164242, 49280}, {489310, 1173088, 49906}, {501129, 1160948, 50227}, {491657, 1169794, 50853}}"
"{{931088, 497336, 283880}}","{{990615, 424536, 297153}, {978857, 430789, 302658}}","{{888868, 526267, 297169}, {911802, 497844, 302658}}","{{948395, 453467, 310442}, {954727, 442540, 315037}, {943930, 453344, 315030}, {950262, 442417, 319625}, {954638, 442122, 315544}}"
"{{845623, 742408, 124273}, {877314, 698088, 136902}}","{{900083, 679190, 133031}, {887036, 690399, 134869}, {887332, 689878, 135094}}","{{793293, 785959, 133052}, {801630, 776135, 134539}, {812545, 764344, 135415}}","{{847753, 722741, 141810}, {841765, 727248, 143291}, {852723, 715969, 143612}, {841757, 727256, 143291}, {846727, 720484, 145093}, {852722, 715769, 143813}, {846734, 720276, 145294}}"
{},"{{549667, 1124012, 38625}, {539009, 1133459, 39836}}",{},"{{486083, 1185995, 40226}, {476485, 1194969, 40850}, {488301, 1182631, 41372}, {478703, 1191605, 41996}}"
"{{928984, 499727, 283593}}","{{988128, 427354, 296822}, {976542, 433295, 302467}}","{{886885, 528539, 296880}, {909486, 500351, 302467}}","{{946029, 456166, 310109}, {952341, 445260, 314703}, {941528, 456080, 314696}, {947840, 445174, 319290}, {952252, 444725, 315327}}"
"{{843061, 745224, 124019}, {874434, 701142, 136728}}","{{897127, 682459, 132718}, {884015, 693734, 134555}, {884535, 692848, 134921}}","{{790841, 788667, 132796}, {799077, 778945, 134282}, {809747, 767315, 135242}}","{{844907, 725902, 141495}, {838878, 730451, 142975}, {849844, 719164, 143296}, {838862, 730467, 142975}, {843799, 723729, 144776}, {849843, 718847, 143614}, {843814, 723396, 145094}}"
"{{820174, 768247, 123883}, {848631, 727092, 136581}}","{{872469, 707468, 132367}, {858956, 718922, 134426}, {859252, 718485, 134567}}","{{767214, 812432, 132658}, {774758, 803403, 134143}, {784498, 792710, 135096}}","{{819509, 751653, 141142}, {813033, 756650, 142621}, {824049, 745111, 143144}, {813025, 756658, 142621}, {817565, 750116, 144623}, {824049, 744994, 143261}, {817573, 749991, 144740}}"
{},"{{537710, 1143402, 31192}, {527150, 1152612, 32542}}",{},"{{473636, 1206320, 32348}, {463912, 1215422, 32970}, {475726, 1202969, 33609}, {466002, 1212071, 34231}}"
